created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:00:21-05:00,20.5512,58.8632,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T00:25:48-05:00,,,3.7074,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T00:57:21-05:00,,,,-50,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T01:00:22-05:00,20.4257,58.4558,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T01:25:48-05:00,,,3.7037,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T02:00:23-05:00,20.3536,57.9461,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T02:25:48-05:00,,,3.7,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T03:00:23-05:00,20.2976,57.5998,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T03:25:49-05:00,,,3.7037,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T03:57:22-05:00,,,,-68,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T04:00:22-05:00,20.2575,58.6877,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T04:25:48-05:00,,,3.7074,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T05:00:23-05:00,20.1854,58.7015,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T05:25:49-05:00,,,3.7037,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T06:00:22-05:00,20.2014,58.8266,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T06:25:49-05:00,,,3.7,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T06:57:21-05:00,,,,-66,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T07:00:23-05:00,20.2842,59.2462,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T07:25:50-05:00,,,3.7074,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T08:00:22-05:00,20.4257,58.9761,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T08:25:50-05:00,,,3.7037,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T09:00:23-05:00,20.5085,58.6969,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T09:25:50-05:00,,,3.7,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T10:00:24-05:00,20.5806,58.2895,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T10:25:50-05:00,,,3.7074,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T11:00:25-05:00,20.7782,58.7533,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T11:25:51-05:00,,,3.7037,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T12:00:25-05:00,21.1013,63.7781,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-03-20T12:25:51-05:00,,,3.7074,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
