created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T00:41:31-05:00,24.2309,63.8376,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T01:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T01:41:31-05:00,24.1749,63.3539,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T02:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T02:41:31-05:00,24.1054,62.6764,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T03:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T03:41:31-05:00,24.0894,62.707,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T04:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T04:41:30-05:00,23.9906,62.3926,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T05:35:04-05:00,,,3.6186,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T05:41:31-05:00,23.9345,61.706,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T06:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T06:41:32-05:00,24.4419,63.6683,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T07:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T07:41:32-05:00,24.3004,64.2741,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T08:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T08:41:32-05:00,24.2309,58.8174,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T09:35:05-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T09:41:33-05:00,24.3137,60.7614,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T10:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T10:41:32-05:00,24.6529,64.8463,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T11:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T11:41:33-05:00,25.0347,63.5187,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T11:41:40-05:00,,,,-81,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T12:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T12:41:32-05:00,25.2884,62.1759,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T13:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T13:41:33-05:00,25.4566,60.7797,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T13:41:39-05:00,,,,-79,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T14:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T14:41:33-05:00,25.9079,64.4755,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T15:35:04-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T15:41:33-05:00,25.4833,63.2761,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T16:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T16:41:33-05:00,25.2884,60.5875,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T17:35:04-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T17:41:33-05:00,25.4006,59.4202,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T18:35:04-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T18:41:33-05:00,25.2884,60.0671,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T18:41:37-05:00,,,,-78,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T19:35:05-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T19:41:34-05:00,25.2884,59.9741,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T19:41:46-05:00,,,,-77,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T20:35:05-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T20:41:34-05:00,25.4006,62.9404,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T21:35:05-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T21:41:34-05:00,25.1629,61.912,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T22:35:05-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T22:41:35-05:00,24.9065,60.2319,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T23:35:05-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-20T23:41:35-05:00,24.8638,60.4547,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T00:35:05-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T00:41:36-05:00,24.8077,60.4334,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T01:35:05-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T01:41:35-05:00,24.9065,59.6368,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T01:41:50-05:00,,,,-78,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T02:35:06-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T02:41:35-05:00,24.8772,60.0656,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T03:35:06-05:00,,,3.6149,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T03:41:36-05:00,24.9493,61.0834,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T04:35:07-05:00,,,3.6075,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T04:41:36-05:00,24.8211,59.0127,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T05:35:08-05:00,,,3.6112,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
2025-03-21T05:41:37-05:00,24.765,58.9914,,,,,,,,,,,,,,,,,,,,M157PE7GS1A,,,
