created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:04:59-05:00,22.9759,66.5385,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T00:05:08-05:00,,,,-71,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T00:27:29-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T01:05:00-05:00,22.9919,65.9815,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T01:05:07-05:00,,,,-72,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T01:27:29-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T02:05:00-05:00,22.9492,65.3361,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T02:05:06-05:00,,,,-68,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T02:27:29-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T03:05:01-05:00,22.9065,65.362,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T03:05:05-05:00,,,,-64,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T03:27:30-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T04:05:01-05:00,22.837,66.1173,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T04:27:30-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T05:05:01-05:00,22.8931,65.6657,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T05:05:07-05:00,,,,-74,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T05:27:30-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T06:05:01-05:00,22.8637,68.838,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T06:05:05-05:00,,,,-76,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T06:27:30-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T07:05:01-05:00,22.3991,48.5634,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T07:05:04-05:00,,,,-70,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T07:27:31-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T08:05:01-05:00,20.8343,44.1352,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T08:05:07-05:00,,,,-70,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T08:27:31-05:00,,,3.7259,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T09:05:01-05:00,20.9037,51.6518,,,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
2025-03-20T09:05:08-05:00,,,,-76,,,,,,,,,,,,,,,,,,P2H7D09GS1A,,,
