created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T14:15:17-05:00,24.9706,49.4957,,,,55.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T14:15:20-05:00,,,,,,,,,,,,,,,,,,,,"c8:1f:be:be:a8:17,-36;c8:1f:be:af:85:9d,-44;88:66:39:5d:00:cf,-47;50:1d:94:a1:bb:2c,-49;68:e2:09:8b:90:74,-54",,VR032M0GS1A,,,
2025-03-20T14:15:21-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T14:15:22-05:00,,,,-36,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T15:15:06-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T15:15:18-05:00,25.0294,49.1936,,,,59.25,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T15:15:22-05:00,,,,-36,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T16:15:06-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T16:15:19-05:00,24.8585,47.2724,,,,57.6,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T16:15:23-05:00,,,,,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T16:15:29-05:00,,,,-42,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T17:15:06-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T17:15:20-05:00,24.8878,46.717,,,,62.1,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T17:15:23-05:00,,,,-33,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T17:15:24-05:00,,,,,,,,,101.6,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T18:15:06-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T18:15:21-05:00,24.733,46.2745,,,,52.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T18:15:23-05:00,,,,-44,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T18:15:25-05:00,,,,,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T19:15:06-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T19:15:21-05:00,24.6048,46.5934,,,,60.75,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T19:15:24-05:00,,,,-42,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T19:15:26-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T20:15:07-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T20:15:21-05:00,24.5354,46.6957,,,,62.85,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T20:15:25-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T20:15:27-05:00,,,,-34,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T21:15:07-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T21:15:21-05:00,24.5354,46.1997,,,,63.15,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T21:15:25-05:00,,,,-38,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T21:15:26-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T22:15:07-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T22:15:22-05:00,24.6342,58.8022,,,,61.35,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T22:15:25-05:00,,,,-41,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T22:15:26-05:00,,,,,,,,,102,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T23:15:07-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T23:15:23-05:00,25.3391,56.3439,,,,61.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T23:15:26-05:00,,,,-45,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T23:15:27-05:00,,,,,,,,,102,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T00:15:07-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T00:15:24-05:00,25.9453,52.6238,,,,62.7,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T00:15:28-05:00,,,,-36,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
