created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(RS485 Soil Temperature ºC )","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:11:53-05:00,23.2803,64.9729,,,,13.8,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T00:12:03-05:00,,,,-61,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T00:41:10-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T01:11:53-05:00,23.2803,61.944,,,,103.8,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T01:12:00-05:00,,,,-64,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T01:41:11-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T02:11:54-05:00,23.2803,63.7156,,,,104.4,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T02:11:58-05:00,,,,-61,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T02:41:11-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T03:11:55-05:00,23.0827,62.121,,,,103.2,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T03:11:59-05:00,,,,-58,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T03:41:11-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T04:11:56-05:00,22.9866,60.7492,,,,14.25,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T04:12:11-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T04:41:11-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T05:11:56-05:00,22.845,57.9248,,,,14.7,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T05:11:59-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:88,-43;40:b0:76:af:27:20,-45;72:dc:68:27:0a:f7,-59;b2:ac:25:72:02:30,-66;4c:ed:fb:7a:89:00,-68",,S6A3BF4GS1A,,,
2025-03-20T05:12:09-05:00,,,,-81,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T05:41:11-05:00,,,3.9849,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T06:11:56-05:00,22.7169,58.6664,,,,14.55,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T06:12:10-05:00,,,,-67,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T06:41:11-05:00,,,3.9812,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T07:11:56-05:00,22.7863,63.2578,,,,104.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T07:12:04-05:00,,,,-63,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T07:12:18-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,503,,
2025-03-20T07:12:19-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T07:41:11-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T08:11:57-05:00,22.845,65.1102,,,,103.95,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T08:12:01-05:00,,,,-74,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T08:41:11-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T09:11:57-05:00,23.2376,68.0095,,,,99.9,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T09:12:03-05:00,,,,-48,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T09:41:12-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T10:11:58-05:00,23.4379,68.5679,,,,99.75,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T10:12:01-05:00,,,,-49,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T10:41:12-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T11:11:58-05:00,23.4379,67.808,,,,102,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T11:12:14-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T11:41:13-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T12:11:58-05:00,23.4379,65.9434,,,,101.85,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T12:12:16-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T12:41:13-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T13:11:58-05:00,23.4512,66.9505,,,,100.95,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T13:12:01-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-41;32:65:8d:c2:fc:1e,-47;40:b0:76:af:1c:88,-50;96:3d:c0:53:57:a1,-59;d4:5d:64:ea:85:20,-64",,S6A3BF4GS1A,,,
2025-03-20T13:12:12-05:00,,,,-63,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T13:41:13-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T14:11:59-05:00,23.5206,65.9709,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T14:12:13-05:00,,,,-65,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T14:41:13-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T15:11:59-05:00,23.761,67.8248,,,,101.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T15:12:15-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T15:41:14-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T16:11:59-05:00,23.7877,66.2699,,,,101.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T16:12:02-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-45;40:b0:76:af:1c:88,-49;96:3d:c0:53:57:a1,-66;1a:36:ec:72:63:93,-67;d4:5d:64:ea:85:20,-69",,S6A3BF4GS1A,,,
2025-03-20T16:12:17-05:00,,,,-71,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T16:41:14-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T17:11:59-05:00,23.9319,66.4927,,,,100.95,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T17:12:15-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T17:41:14-05:00,,,3.9775,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T18:12:00-05:00,23.9879,64.8356,,,,98.7,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T18:12:02-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-44;40:b0:76:af:1c:88,-50;96:3d:c0:53:57:a1,-66;4c:ed:fb:7a:89:00,-66;f6:d2:0a:f5:e8:c5,-68",,S6A3BF4GS1A,,,
2025-03-20T18:12:15-05:00,,,,-71,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T18:41:14-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T19:12:00-05:00,24.1134,66.2608,,,,101.85,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T19:12:16-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T19:41:14-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T20:12:00-05:00,24.044,66.8772,,,,102.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T20:12:18-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,502,,
2025-03-20T20:12:19-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-20T20:41:14-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T21:12:00-05:00,24.0146,67.3091,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T21:12:03-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-42;ae:bb:a4:ff:95:eb,-53;40:b0:76:af:1c:88,-54;a6:20:10:5b:03:28,-56;d4:5d:64:ea:85:20,-58",,S6A3BF4GS1A,,,
2025-03-20T21:12:17-05:00,,,,-56,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T21:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T22:12:01-05:00,23.817,65.3574,,,,102.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T22:12:08-05:00,,,,-66,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T22:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T23:12:02-05:00,23.4939,61.5595,,,,101.85,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T23:12:08-05:00,,,,-65,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-20T23:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T00:12:02-05:00,23.323,60.6531,,,,102.9,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T00:12:18-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T00:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T01:12:03-05:00,23.267,62.7756,,,,102.9,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T01:12:06-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-46;56:99:21:de:8b:f4,-58;1e:4a:96:c7:bb:11,-58;d4:5d:64:ea:85:20,-60;e6:b5:b5:9e:fd:3a,-67",,S6A3BF4GS1A,,,
2025-03-21T01:12:10-05:00,,,,-62,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T01:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T02:12:04-05:00,23.0133,61.8326,,,,103.05,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T02:12:09-05:00,,,,-64,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T02:41:15-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T03:12:04-05:00,22.9706,63.0793,,,,102.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T03:12:10-05:00,,,,-59,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T03:12:22-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T03:12:23-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,-1,,
2025-03-21T03:41:16-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T04:12:04-05:00,22.6875,62.3133,,,,13.8,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T04:12:10-05:00,,,,-60,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T04:41:16-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T05:12:06-05:00,22.5193,61.7288,,,,107.4,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T05:12:12-05:00,,,,-68,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T05:41:17-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T06:12:06-05:00,22.7436,62.9191,,,,102.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T06:12:22-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T06:41:18-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T07:12:06-05:00,22.8183,62.945,,,,99.75,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
