created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(RS485 Soil Temperature ºC )","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-21T07:12:09-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-47;40:b0:76:af:1c:88,-51;56:99:21:de:8b:f4,-53;4c:ed:fb:7a:89:00,-63;98:35:ed:33:55:b4,-77",,S6A3BF4GS1A,,,
2025-03-21T07:12:13-05:00,,,,-50,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T07:41:19-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T08:12:07-05:00,22.9572,63.1525,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T08:12:11-05:00,,,,-72,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T08:41:19-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T09:12:07-05:00,23.2109,65.3315,,,,100.35,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T09:12:23-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T09:41:19-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T10:12:07-05:00,23.4806,66.5064,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T10:12:25-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,502,,
2025-03-21T10:12:26-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T10:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T11:12:08-05:00,23.5073,67.7012,,,,101.7,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T11:12:11-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-46;40:b0:76:af:1c:88,-47;12:f8:1d:f7:67:f7,-61;4c:ed:fb:7a:89:00,-64;d4:5d:64:ea:85:20,-65",,S6A3BF4GS1A,,,
2025-03-21T11:12:13-05:00,,,,-50,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T11:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T12:12:08-05:00,23.5206,64.892,,,,100.65,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T12:12:22-05:00,,,,-66,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T12:41:21-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T13:12:08-05:00,23.5927,64.5655,,,,101.55,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T13:12:24-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T13:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T14:12:08-05:00,23.6061,63.2532,,,,100.05,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T14:12:11-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-50;40:b0:76:af:1c:88,-53;12:f8:1d:f7:67:f7,-57;ee:db:94:84:8a:ca,-57;d6:8b:f5:43:8a:25,-58",,S6A3BF4GS1A,,,
2025-03-21T14:12:17-05:00,,,,-52,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T14:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T15:12:09-05:00,23.7877,61.8463,,,,99.3,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T15:12:24-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T15:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T16:12:09-05:00,24.044,63.8071,,,,98.85,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T16:12:27-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T16:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T17:12:10-05:00,24.1001,63.0701,,,,100.05,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T17:12:27-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T17:41:20-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T18:12:11-05:00,24.1268,63.7186,,,,99.45,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T18:12:28-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,502,,
2025-03-21T18:12:29-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T18:41:21-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T19:12:11-05:00,24.3244,67.4723,,,,101.25,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T19:12:29-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-21T19:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T20:12:11-05:00,24.1562,65.359,,,,101.7,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T20:12:14-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-42;40:b0:76:af:1c:88,-51;4c:ed:fb:7a:89:00,-53;02:ee:5f:b3:39:b0,-59;de:22:06:87:6b:04,-64",,S6A3BF4GS1A,,,
2025-03-21T20:12:20-05:00,,,,-52,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T20:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T21:12:12-05:00,24.044,64.9088,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T21:12:15-05:00,,,,-65,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T21:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T22:12:12-05:00,23.817,62.6108,,,,100.95,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T22:12:16-05:00,,,,-46,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T22:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T23:12:12-05:00,23.7316,62.327,,,,100.5,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T23:12:25-05:00,,,,-78,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-21T23:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T00:12:12-05:00,23.6061,61.1093,,,,101.25,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T00:12:16-05:00,,,,-72,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T00:41:22-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T01:12:12-05:00,23.3818,60.3006,,,,101.55,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T01:12:14-05:00,,,,-48,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T01:41:23-05:00,,,3.9738,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T02:12:13-05:00,23.2937,59.8062,,,,101.25,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T02:12:25-05:00,,,,-61,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T02:41:24-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T03:12:13-05:00,23.1254,59.4903,,,,1.8,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T03:12:24-05:00,,,,-66,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T03:41:24-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T04:12:14-05:00,23.0133,60.3281,,,,2.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T04:12:17-05:00,,,,-59,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T04:41:24-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T05:12:14-05:00,22.9572,60.4791,,,,2.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T05:12:24-05:00,,,,-69,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T05:41:24-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T06:12:14-05:00,22.7729,60.5844,,,,1.95,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T06:12:17-05:00,,,,-69,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T06:41:25-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T07:12:14-05:00,22.8744,63.0091,,,,101.85,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T07:12:21-05:00,,,,-78,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T07:12:37-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-22T07:12:38-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,-1,,
2025-03-22T07:41:25-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T08:12:15-05:00,23.0133,71.5145,,,,100.8,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T08:12:30-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-22T08:41:26-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T09:12:15-05:00,23.1682,68.1773,,,,100.2,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T09:12:33-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-22T09:41:27-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T10:12:16-05:00,23.3097,67.834,,,,99.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T10:12:33-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,502,,
2025-03-22T10:12:34-05:00,,,,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,507,,
2025-03-22T10:41:28-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T11:12:16-05:00,23.761,69.3675,,,,96.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T11:12:19-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:27:20,-41;40:b0:76:af:1c:88,-51;4c:ed:fb:7a:89:00,-59;4e:fc:99:7a:97:e3,-64;98:35:ed:33:55:b4,-72",,S6A3BF4GS1A,,,
2025-03-22T11:12:22-05:00,,,,-54,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T11:41:28-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T12:12:16-05:00,23.7049,64.9607,,,,99.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T12:12:21-05:00,,,,-67,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T12:41:28-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T13:12:17-05:00,23.761,63.7339,,,,99.6,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T13:12:25-05:00,,,,-68,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T13:41:29-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T14:12:17-05:00,23.817,62.855,,,,99.15,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T14:12:21-05:00,,,,-76,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T14:41:29-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T15:12:17-05:00,23.9319,65.2171,,,,98.1,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T15:12:23-05:00,,,,-70,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T15:41:29-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T16:12:17-05:00,23.8571,63.7522,,,,100.2,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T16:12:24-05:00,,,,-63,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
2025-03-22T16:41:29-05:00,,,3.9701,,,,,,,,,,,,,,,,,,,S6A3BF4GS1A,,,
