created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:45:52-05:00,,,,-60,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T00:48:02-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T00:49:15-05:00,18.1105,67.4006,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T01:48:03-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T01:49:15-05:00,17.9263,69.2729,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T02:48:02-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T02:49:15-05:00,17.7581,69.7704,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T03:45:56-05:00,,,,-62,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T03:48:02-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T03:49:14-05:00,17.5738,69.9687,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T04:48:03-05:00,,,3.8073,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T04:49:15-05:00,17.3495,68.3619,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T05:48:03-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T05:49:14-05:00,17.2641,70.2251,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T06:45:53-05:00,,,,-56,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T06:48:04-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T06:49:15-05:00,17.2507,70.193,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T07:48:04-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T07:49:15-05:00,18.3509,68.658,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T08:48:05-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T08:49:16-05:00,18.6873,66.8971,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T09:45:51-05:00,,,,-56,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T09:48:05-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T09:49:16-05:00,19.2508,70.4082,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T10:48:05-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T10:49:17-05:00,19.6326,71.3634,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T11:48:05-05:00,,,3.7999,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T11:49:18-05:00,20.2682,69.3874,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T12:45:53-05:00,,,,-52,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T12:48:05-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T12:49:17-05:00,19.7021,70.0832,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T13:48:05-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T13:49:18-05:00,20.1266,71.5969,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T14:48:06-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T14:49:18-05:00,20.3243,71.603,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T15:45:53-05:00,,,,-62,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T15:48:06-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T15:49:18-05:00,20.4204,69.6941,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T16:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T16:49:19-05:00,20.3243,67.4372,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T17:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T17:49:18-05:00,20.0839,67.4998,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T18:45:53-05:00,,,,-46,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T18:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T18:49:19-05:00,19.7875,68.9982,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T19:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T19:49:19-05:00,19.4511,69.2348,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T20:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T20:49:20-05:00,19.2241,70.1015,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T21:45:53-05:00,,,,-67,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T21:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T21:49:19-05:00,18.463,76.437,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T22:48:07-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T22:49:19-05:00,18.407,68.4535,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T23:48:08-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-20T23:49:20-05:00,17.8702,68.0995,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T00:45:53-05:00,,,,-60,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T00:48:08-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T00:49:19-05:00,17.6459,68.7175,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T01:48:08-05:00,,,3.7999,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T01:49:20-05:00,17.5738,69.5048,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T02:48:08-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T02:49:21-05:00,17.4056,69.6437,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T03:45:52-05:00,,,,-55,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T03:48:08-05:00,,,3.8036,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T03:49:20-05:00,17.2801,71.0765,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T04:48:08-05:00,,,3.7999,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
2025-03-21T04:49:21-05:00,17.1679,71.0491,,,,,,,,,,,,,,,,,,,,N2PAX9HGS1A,,,
