created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:21:35-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T00:53:42-05:00,17.0771,81.4633,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T01:21:35-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T01:53:43-05:00,17.2747,81.4771,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T02:21:35-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T02:50:36-05:00,,,,-54,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T02:53:43-05:00,17.4002,81.3672,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T03:21:35-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T03:53:42-05:00,17.443,81.1612,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T04:21:35-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T04:53:43-05:00,17.7687,87.4479,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T05:21:35-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T05:50:34-05:00,,,,-52,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T05:53:43-05:00,18.1186,83.1708,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T06:21:35-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T06:53:42-05:00,17.5685,77.1298,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T07:21:35-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T07:53:43-05:00,17.5257,79.3622,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T08:21:36-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T08:50:32-05:00,,,,-51,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T08:53:43-05:00,17.0211,80.1678,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T09:21:37-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T09:53:43-05:00,17.5685,82.3987,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T10:21:37-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T10:53:44-05:00,18.1907,83.7339,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T11:21:37-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T11:50:32-05:00,,,,-55,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T11:53:43-05:00,18.3883,82.742,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T12:21:37-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T12:53:44-05:00,17.9637,82.2095,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T13:21:38-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T13:53:43-05:00,17.9797,83.8438,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T14:21:39-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T14:50:33-05:00,,,,-59,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T14:53:44-05:00,18.4176,84.2893,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T15:21:38-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T15:53:44-05:00,18.2628,81.4633,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T16:21:38-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T16:53:44-05:00,17.5124,81.4405,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T17:21:38-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T17:50:35-05:00,,,,-54,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T17:53:45-05:00,17.6139,82.0676,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T18:21:38-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T18:53:45-05:00,17.1759,82.8092,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T19:21:38-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T19:53:46-05:00,17.5685,86.1921,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T20:21:38-05:00,,,3.8221,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T20:50:34-05:00,,,,-61,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T20:53:46-05:00,17.7955,85.919,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T21:21:39-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T21:53:46-05:00,17.4136,84.1688,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T22:21:39-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T22:53:46-05:00,17.1065,83.0289,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T23:21:39-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T23:50:33-05:00,,,,-50,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-20T23:53:46-05:00,17.0344,81.9318,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T00:21:40-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T00:53:47-05:00,17.1893,81.5473,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T01:21:40-05:00,,,3.8184,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T01:53:47-05:00,17.2454,81.4694,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T02:21:40-05:00,,,3.8147,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T02:50:34-05:00,,,,-50,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T02:53:48-05:00,17.1893,85.8503,,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
2025-03-21T03:21:40-05:00,,,3.811,,,,,,,,,,,,,,,,,,,Y2EHY64GS1A,,,
