created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:08:07-05:00,19.8089,60.9873,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T00:08:10-05:00,,,,-46,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T00:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T01:08:07-05:00,19.5979,62.1958,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T01:08:12-05:00,,,,-46,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T01:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T02:08:07-05:00,19.5125,62.3316,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T02:08:09-05:00,,,,-45,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T02:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T03:08:06-05:00,19.3843,62.7756,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T03:08:11-05:00,,,,-46,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T03:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T04:08:06-05:00,19.3282,62.5559,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T04:08:11-05:00,,,,-42,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T04:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T05:08:06-05:00,19.2855,62.8733,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T05:08:10-05:00,,,,-43,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T05:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T06:08:07-05:00,19.1733,62.6352,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T06:08:11-05:00,,,,-40,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T06:33:40-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T07:08:07-05:00,19.3709,62.4979,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T07:08:10-05:00,,,,-56,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T07:33:39-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T08:08:06-05:00,19.8356,62.063,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T08:08:11-05:00,,,,-48,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T08:33:39-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T09:08:07-05:00,20.7702,60.6806,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T09:08:10-05:00,,,,-48,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T09:33:40-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T10:08:07-05:00,21.4324,58.6786,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T10:08:13-05:00,,,,-41,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T10:33:40-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T11:08:07-05:00,21.574,57.4655,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T11:08:12-05:00,,,,-38,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T11:33:41-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T12:08:08-05:00,21.7582,55.14,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T12:08:12-05:00,,,,-46,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T12:33:41-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T13:08:07-05:00,21.6861,54.0276,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T13:08:10-05:00,,,,-44,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T13:33:42-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T14:08:08-05:00,21.8277,54.5144,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T14:08:11-05:00,,,,-46,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T14:33:41-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T15:08:08-05:00,21.9959,58.9349,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T15:08:11-05:00,,,,-35,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T15:33:41-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T16:08:08-05:00,21.8277,53.8903,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T16:08:14-05:00,,,,-40,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T16:33:41-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T17:08:09-05:00,21.7582,54.1985,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T17:08:14-05:00,,,,-55,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T17:33:41-05:00,,,3.6852,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T18:08:09-05:00,21.614,54.5373,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T18:33:41-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T19:08:09-05:00,21.3764,54.6471,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T19:08:20-05:00,,,,-69,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T19:33:41-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T20:08:10-05:00,21.347,55.9106,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T20:08:25-05:00,,,,-40,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T20:33:42-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T21:08:09-05:00,21.2081,55.6161,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T21:08:18-05:00,,,,-53,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T21:33:41-05:00,,,3.6815,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T22:08:10-05:00,20.658,57.4578,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T22:08:17-05:00,,,,-54,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T22:33:41-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T23:08:10-05:00,20.2895,58.8861,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T23:08:16-05:00,,,,-43,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-20T23:33:41-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T00:08:11-05:00,19.9638,59.0097,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T00:08:19-05:00,,,,-44,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T00:33:41-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T01:08:11-05:00,19.8356,59.2615,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T01:08:17-05:00,,,,-53,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T01:33:41-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T02:08:12-05:00,19.6967,59.7314,,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
2025-03-21T02:33:42-05:00,,,3.6778,,,,,,,,,,,,,,,,,,,H92C65MGS1A,,,
